DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2010,2997.450,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2011,2936.634,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2012,3065.799,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2013,4066.970,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2014,3500.001,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2015,3240.375,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2016,2990.930,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2017,2934.535,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2018,3146.976,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2019,3120.242,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2020,3469.079,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AL,2021,3504.652,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2010,17657.493,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2011,17273.639,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2012,17541.316,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2013,17649.164,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2014,16815.552,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2015,17215.299,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2016,17838.838,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2017,17998.218,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2018,17942.604,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2019,18336.543,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2020,18006.175,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,AT,2021,20283.197,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BA,2014,4604.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BA,2015,4725.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BA,2016,4734.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BA,2017,4755.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BA,2018,4685.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BA,2019,4725.999,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BA,2020,4795.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BA,2021,4912.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BE,2016,18849.100,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BE,2017,18537.100,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BE,2018,18508.100,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BE,2019,18357.200,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BE,2020,18663.200,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BE,2021,19267.500,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2010,10559.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2011,10912.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2012,10838.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2013,10537.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,BG,2014,10590.000,
